Movie Name,Release Period,Whether Remake,Whether Franchise,Genre,New Actor,New Director,New Music Director,Lead Star,Director,Music Director,Number of Screens,Budget(INR),Revenue(INR),ProfitFactor,Year,Duration,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Tiger Zinda Hai,Holiday,No,Yes,action,No,No,No,Salman Khan,Ali Abbas Zafar,Vishal - Shekhar,4600,2100000000,5651020000,2.690961905,2017,161,5.9,25732,Ali Abbas Zafar,Salman Khan,Katrina Kaif,Anupriya Goenka
Tanu Weds Manu,Holiday,No,No,love_story,No,No,Yes,R. Madhavan,Anand L. Rai,Krsna,850,210000000,564135000,2.686357143,2011,113,6.8,13804,Aanand L. Rai,Madhavan,Kangana Ranaut,Jimmy Sheirgill
Bachna Ae Haseeno,Holiday,No,No,rom__com,No,No,No,Ranbir Kapoor,Siddharth Anand,Vishal - Shekhar,800,230000000,615725000,2.677065217,2008,152,6.1,10674,Siddharth Anand,Ranbir Kapoor,Deepika Padukone,Bipasha Basu
Dhamaal,Normal,No,No,comedy,No,No,No,Riteish Deshmukh,Indra Kumar,Adnan Sami,800,190000000,507330000,2.670157895,2007,136,7.3,13878,Indra Kumar,Sanjay Dutt,Riteish Deshmukh,Arshad Warsi
Don 2,Holiday,No,Yes,action,No,No,No,Shahrukh Khan,Farhan Akhtar,Shankar - Ehsaan - Loy,2850,760000000,2028100000,2.668552632,2011,148,7.1,50435,Farhan Akhtar,Shah Rukh Khan,Florian Lukas,Om Puri
Wake Up Sid,Holiday,No,No,drama,No,Yes,No,Ranbir Kapoor,Ayan Mukherji,Amit Trivedi,500,180000000,471075000,2.617083333,2009,138,7.6,29167,Ayan Mukherjee,Ranbir Kapoor,Konkona Sen Sharma,Supriya Pathak
Housefull 2,Holiday,No,Yes,comedy,No,No,No,Akshay Kumar,Sajid Khan,Sajid - Wajid,2650,720000000,1884050000,2.616736111,2012,145,5.3,13576,Sajid Khan,Akshay Kumar,John Abraham,Asin Thottumkal
Raanjhanaa,Normal,No,No,love_story,Yes,No,No,Dhanush,Anand L. Rai,A.R. Rehman,1450,360000000,941342500,2.614840278,2013,140,7.6,30344,Aanand L. Rai,Dhanush,Sonam Kapoor,Mohd. Zeeshan Ayyub
Bhool Bhulaiyaa,Holiday,Yes,No,comedy,No,No,No,Akshay Kumar,Priyadarshan,Pritam,1050,320000000,828377500,2.588679688,2007,159,7.3,22777,Priyadarshan,Akshay Kumar,Vidya Balan,Shiney Ahuja
Fukrey,Normal,No,No,comedy,No,No,No,Pulkit Samrat,Mrighdeep Singh Lamba,Ram Sampath,1000,190000000,490175000,2.579868421,2013,139,6.9,10762,Mrighdeep Lamba,Pulkit Samrat,Manjot Singh,Ali Fazal
