Movie Name,Release Period,Whether Remake,Whether Franchise,Genre,New Actor,New Director,New Music Director,Lead Star,Director,Music Director,Number of Screens,Budget(INR),Revenue(INR),ProfitFactor,Year,Duration,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Irada,Holiday,No,No,drama,No,Yes,Yes,Naseeruddin Shah,Aparnaa Singh,Neeraj Shridhar,500,75000000,11200000,0.1493333333,2017,109,6.3,1284,Aparnaa Singh,Naseeruddin Shah,Arshad Warsi,Divya Dutta
David,Normal,No,No,drama,No,No,Yes,Vikram,Bejoy Nambiar,Mikey McCleary,575,350000000,52100000,0.1488571429,2013,155,6.2,2608,Bejoy Nambiar,Vikram,Neil Nitin Mukesh,Vinay Virmani
Tere Mere Phere,Holiday,No,No,comedy,No,Yes,Yes,Vinay Pathak,Deepa Sahi,Shivangi Kashyap,225,47500000,7000000,0.1473684211,2011,120,5.3,243,Deepa Sahi,Vinay Pathak,Riya Sen,Jagrat Desai
Kachchi Sadak,Normal,No,No,action,Yes,Yes,No,Rahul Singh,Sanjay D. Singh,Uttam Singh,20,17500000,2525000,0.1442857143,2006,145,6.1,34,Sanjay D. Singh,Rahul Singh,Parmita Katkar,Tinnu Anand
Mumbai Mirror,Holiday,No,No,action,No,No,No,Sachiin Joshi,Ankush Bhatt,Amjad - Nadeem,950,180000000,25800000,0.1433333333,2013,136,4.9,114,Ankush Bhatt,Sachiin Joshi,Prakash Raj,Vimala Raman
Sonali Cable,Normal,No,No,drama,No,Yes,No,Ali Fazal,Charudutt Acharya,Daniel B. George,525,77500000,11100000,0.1432258065,2014,127,5.3,980,Charudutt Acharya,Rhea Chakraborty,Ali Fazal,Raghav Juyal
Summer 2007,Normal,No,No,thriller,Yes,Yes,Yes,Sikander Kher,Suhail Tatari,Gourov Dasgupta,125,45000000,6428250,0.14285,2008,166,6.2,238,Sohail Tatari,Sikandar Kher,Gul Panag,Yuvika Chaudhary
Samrat & Co.,Normal,No,No,suspense,No,No,No,Rajeev Khandelwal,Kaushik Ghatak,Ankit Tiwari,625,150000000,21300000,0.142,2014,125,6.2,1227,Kaushik Ghatak,Rajeev Khandelwal,Madalsa Sharma,Gopal Datt
Zed Plus,Normal,No,No,drama,No,No,No,Adil Hussain,Chandraprakash Dwivedi,Sukhwinder Singh,350,55000000,7700000,0.14,2014,141,6.4,449,Chandra Prakash Dwivedi,Vinod Acharya,Rajeev Ankit,Adil Hussain
Chakradhaar,Normal,No,No,action,Yes,Yes,No,Abhishek Anand,Dharam Prakash,Anand Raj Anand,250,45000000,6300000,0.14,2012,120,4.2,28,Dharam Prakash,Shakur Sir,Abishek Anand,Zakir Hussain
Chatur Singh Two Star,Holiday,No,No,comedy,No,No,No,Sanjay Dutt,Ajay Chandhok,Sajid - Wajid,700,230000000,31700000,0.137826087,2011,150,1.7,624,Ajay Chandhok,Sanjay Dutt,Ameesha Patel,Anupam Kher
Jigyaasa,Normal,No,No,drama,No,Yes,No,Hrishita Bhatt,Faisal Saif,Ram Shankar,25,20000000,2700000,0.135,2006,147,3.4,263,Faisal Saif,Nassar Abdulla,Rakesh Bedi,Hrishitaa Bhatt
Koi Mere Dil Mein Hai,Normal,No,No,love_story,No,Yes,No,Priyanshu Chatterjee,Deepak Ramsay,Nikhil - Vinay,50,35000000,4700000,0.1342857143,2005,128,4.7,88,Deepak Ramsay,Dia Mirza,Sadashiv Amrapurkar,Raqesh Bapat
Ishkq In Paris,Holiday,No,No,love_story,No,No,No,Preity Zinta,Prem Soni,Sajid - Wajid,400,210000000,28075000,0.1336904762,2013,95,3.8,751,Prem Soni,Preity Zinta,Isabelle Adjani,Gaurav Chanana
W,Holiday,No,No,thriller,Yes,Yes,No,Leeza Mangaldas,Tarun Madan Chopra,Daboo Malik,150,15000000,2000000,0.1333333333,2014,137,6.6,47,Tarun Madan Chopra,Leeza Mangaldas,Lezlie Tripathy,Sonal Giani
Rabba Main Kya Karoon,Holiday,No,No,comedy,No,No,Yes,Arshad Warsi,Amrit Sagar,Labh Junjua,400,110000000,14400000,0.1309090909,2013,116,4.3,277,Amrit Sagar,Akash Sagar Chopra,Tahira Kochhar,Arshad Warsi
Diary Of A Butterfly,Normal,No,No,drama,No,No,No,Udita Goswami,Vinod Mukhi,Shibani Kashyap,200,27500000,3600000,0.1309090909,2012,97,3.6,88,Vinod Mukhi,Udita Goswami,Sofia Hayat,Ronny Jhutti
Rakhtbeej,Normal,No,No,drama,Yes,Yes,No,Maanas Srivastava,Anil Balani,Satish - Ajay,300,50000000,6500000,0.13,2012,120,3.1,15,Anil Ballani,Julia Datt,Tinnu Anand,Mansi Dovhal
Rise Of The Zombie,Normal,No,No,horror,No,Yes,Yes,Luke Kenny,Luke Kenny,Caralisa Monteiro,225,30000000,3900000,0.13,2013,86,3.5,404,Luke Kenny,Devaki Singh,Luke Kenny,Kirti Kulhari
Ishq Ke Parindey,Normal,No,No,love_story,Yes,Yes,No,Rishi Verma,Shakir Khan,Rashid Khan,150,32500000,4200000,0.1292307692,2015,120,6.8,51,Shakir Khan,Rishi Verma,Priyanka Mehta,Manjul Azad
Sahi Dhandhe Galat Bande,Holiday,No,No,drama,No,Yes,No,Parvin Dabas,Pravin Dabbas,Siddharth - Suhas,350,75000000,9600000,0.128,2011,119,4.8,263,Parvin Dabas,Anupam Kher,Sharat Saxena,Udit Khurana
Gafla,Holiday,No,No,drama,No,Yes,Yes,Vinod Sherawat,Sameer Hanchate,Kartik Shah,25,12500000,1600000,0.128,2006,127,7.2,454,Sameer Hanchate,Somesh Agarwal,Anshul Chobey,Nishikant Dixit
Janleva 555,Holiday,No,No,thriller,No,Yes,Yes,Kalpana Pandit,Sandeep Malani,Mike Paul Hughes,70,20000000,2550000,0.1275,2012,140,4.2,20,Sundeep Malani,Shona Chabra,Raja Hasan,Akash Hora
Lahore,Normal,No,No,drama,No,Yes,No,Farooque Shaikh,Sanjay Puran Singh Chauhan,M.M. Kreem,325,95000000,12100000,0.1273684211,2010,145,6.3,514,Sanjay Puran Singh Chauhan,Farooq Shaikh,Nafisa Ali,Aanaahad
Paapi - Ek Satya Katha,Holiday,No,No,drama,No,No,No,Arya Babbar,Aziz Sejawal,Anand - Milind,200,15000000,1875000,0.125,2013,115,3.8,27,Aziz Sejawal,Arya Babbar,Pooja Bharti,Prasenjit Chatterjee
Marigold,Holiday,No,No,rom__com,No,Yes,No,Salman Khan,Willard Carroll,Shankar - Ehsaan - Loy,160,190000000,22950000,0.1207894737,2007,110,4.8,1890,Willard Carroll,Salman Khan,Ali Larter,Nandana Sen
Kaagaz Ke Fools,Normal,No,No,comedy,No,Yes,Yes,Vinay Pathak,Anil Chaudhary,Sangeeta Pant,300,40000000,4800000,0.12,2015,109,3.9,136,Anil Chaudhary,Vinay Pathak,Mugdha Godse,Raima Sen
Ek Haseena Thi Ek Deewana Tha,Normal,No,No,love_story,No,No,No,Shiv Darshan,Suneel Darshan,Nadeem Saifi,725,140000000,16700000,0.1192857143,2017,105,2.5,104,Suneel Darshan,Shiv Darshan,Natasha Fernandez,Upen Patel
Showbiz,Holiday,No,No,drama,Yes,Yes,Yes,Tushar Jalota,Raju Khan,Lalit Pandit,100,42500000,5000000,0.1176470588,2007,108,3.6,114,Raju Khan,Tushar Jalota,Mrinalini Sharma,Vishal Agarwala
Jal,Normal,No,No,drama,No,Yes,No,Purab Kohli,Girish Malik,Bikram Ghosh,275,60000000,7000000,0.1166666667,2013,126,6.7,454,Girish Malik,Purab Kohli,Tannishtha Chatterjee,Kirti Kulhari
Machine,Normal,No,No,thriller,Yes,No,Yes,Mustafa Burmawalla,Abbas - Mustan,Tanishk,1600,300000000,34847500,0.1161583333,2017,148,2.7,761,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Kiara Advani,Rishabh Arora
Raqt,Normal,No,No,drama,Yes,Yes,No,Shweta Bhardwaj,Adi Irani,Daboo Malik,200,25000000,2900000,0.116,2013,180,4.3,6,Adi Irani,Shiva Rindani,Shweta Bhardwaj,Gulshan Grover
Khuda Kasam,Normal,No,No,action,No,No,No,Sunny Deol,K.C. Bokadia,Aadesh Shrivastava,125,90000000,10400000,0.1155555556,2010,160,3.2,100,K.C. Bokadia,Sunny Deol,Tabu,Beena Banerjee
Mod,Normal,No,No,love_story,No,No,No,Ayesha Takia,Nagesh Kukunoor,Tapas Relia,225,55000000,6325000,0.115,2011,100,6.5,399,Nagesh Kukunoor,Ayesha Takia,Rannvijay Singh,Raghuvir Yadav
Umar,Normal,No,No,drama,No,No,No,Jimmy Shergill,Karan Razdan,Shamir Tandon,55,35000000,4001000,0.1143142857,2006,135,5.5,68,Karan Razdan,Jimmy Sheirgill,Shenaz Treasury,Kader Khan
Uvaa,Normal,No,No,drama,No,Yes,No,Om Puri,Jasbir Bhaati,Hanif Sheikh,200,25000000,2850000,0.114,2015,138,4.9,151,Jasbir Bijender Bhati,Om Puri,Rajit Kapoor,Manish Chaudhary
Anubhav,Normal,No,No,drama,No,Yes,No,Sanjay Suri,Rajiv Nath,Aadesh Shrivastava,85,20000000,2275000,0.11375,1971,139,6.7,137,Basu Bhattacharya,Sanjeev Kumar,Tanuja,Dinesh Thakur
Zokkomon,Holiday,No,No,fantasy,No,Yes,No,Darsheel Safary,Satyajit Bhatkal,Shankar - Ehsaan - Loy,350,100000000,11300000,0.113,2011,109,4,351,Satyajit Bhatkal,Darsheel Safary,Anupam Kher,Manjari Fadnnis
Striker,Holiday,No,No,drama,No,No,Yes,Siddharth,Chandan Arora,Shailendra Barve,200,110000000,12300000,0.1118181818,2010,128,6.9,1014,Chandan Arora,Siddharth,Ankur Vikal,Anupam Kher
Allah Ke Banday,Normal,No,No,action,No,Yes,No,Sharman Joshi,Faruk Kabir,Chirantan Bhatt,300,90000000,10000000,0.1111111111,2010,123,6.1,303,Faruk Kabir,Varun Bhagwat,Virendra Giri,Vikram Gokhale
Ankur Arora Murder Case,Normal,No,No,thriller,No,No,Yes,Kay Kay Menon,Suhail Tatari,Inder Bawra,300,75000000,8200000,0.1093333333,2013,129,6.5,1823,Sohail Tatari,Kay Kay Menon,Visshesh Tiwari,Tisca Chopra
Amit Sahni Ki List,Normal,No,No,rom__com,No,Yes,No,Vir Das,Ajay Bhuyan,Raghu Dixit,450,70000000,7600000,0.1085714286,2014,110,5.4,347,Ajay Bhuyan,Vir Das,Vega Tamotia,Anindita Nayar
Rajjo,Holiday,No,No,drama,No,Yes,No,Kangana Ranaut,Vishwas Patil,Uttam Singh,425,110000000,11900000,0.1081818182,2013,123,2.3,436,Vishwas Patil,Kangana Ranaut,Prakash Raj,Mahesh Manjrekar
My Husband's Wife,Normal,No,No,drama,Yes,No,Yes,Rakhi Vohra,Vinod Chhabra,Dinesh Arjuna,5,6500000,700000,0.1076923077,2010,122,3.1,8,Rati Agnihotri,Prem Chopra,Shakti Kapoor,Mahinder Shera
Heartless,Normal,No,No,thriller,No,Yes,No,Adhyayan Suman,Shekhar Suman,Gaurav Dagaonkar,400,110000000,11800000,0.1072727273,2014,131,5.1,458,Shekhar Suman,Adhyayan Suman,Ariana Ayam,Deepti Naval
Delhi In A Day,Normal,No,No,drama,Yes,Yes,Yes,Lee Williiams,Prashant Nair,Mathias Duplessy,15,7500000,800000,0.1066666667,2011,88,6.2,395,Prashant Nair,Victor Banerjee,Siddharth Bhardwaj,Vidya Bhushan
Chand Ke Paar Chalo,Normal,No,No,love_story,Yes,No,Yes,Saahib,Mustafa Engineer,Vishnu Narayan,30,27500000,2900000,0.1054545455,2006,169,6.7,35,Mustafa Engineer,Somesh Agarwal,Shahib Chopra,Kannu Gill
Dhadkanein,Holiday,No,No,love_story,No,No,No,Attin Bhalla,Imran Khalid,Anand - Milind,15,15000000,1550000,0.1033333333,2006,146,4.4,12,Imran Khalid,Attin Bhalla,Preeti,Harsh Chhaya
Hulla,Normal,No,No,comedy,No,Yes,No,Sushant Singh,Jaideep Varma,Indian Ocean,100,15000000,1550000,0.1033333333,2008,107,6.4,234,Jaideep Varma,Sushant Singh,Kartika Rane,Rajat Kapoor
Listen... Amaya,Normal,No,No,drama,No,Yes,Yes,Swara Bhaskar,Avinash Kumar Singh,Indraneel Hariharan,35,15000000,1550000,0.1033333333,2013,108,6.6,588,Avinash Kumar Singh,Farooq Shaikh,Deepti Naval,Swara Bhaskar
Bollywood Villa,Normal,No,No,suspense,No,Yes,No,Dilzan Wadia,Chandarsen Singh,Vaishnav Deva,1,8000000,825000,0.103125,2014,124,4.8,12,Chandersen Singh,Arun Bakshi,Piyush Bhalodiya,Deepak Bhatia
Kya Yahi Sach Hai,Holiday,No,No,drama,Yes,Yes,Yes,Rajiv Roda,Y.P. Singh,Rooshin Dalal,100,15000000,1525000,0.1016666667,2011,142,6.1,22,Y.P. Singh,Gurpreet Kaur Chadha,Shalini Chandran,T.K. Chowdhary
I Love NY,Normal,No,No,rom__com,No,Yes,No,Sunny Deol,Radhika Rao,Pritam,500,160000000,16200000,0.10125,2015,127,3.4,648,Radhika Rao,Vinay Sapru,Sunny Deol,Kangana Ranaut
Victory,Holiday,No,No,drama,No,Yes,No,Harman Baweja,Ajit Pal Mangat,Anu Malik,325,190000000,19235000,0.1012368421,2009,160,3.8,481,Ajit Pal Mangat,Harman Baweja,Allan Border,Mike Hussey
Utt Pataang,Normal,No,No,comedy,No,Yes,No,Vinay Pathak,Srikanth Velagaleti,Shamir Tandon,225,55000000,5500000,0.1,2011,120,6,306,Srikanth Velagaleti,Vinay Pathak,Saurabh Shukla,Mahie Gill
Mahabharat Aur Barbareek,Normal,No,No,mythological,No,Yes,No,Gracy Singh,Dharmesh Tiwari,Ravindra Jain,15,17500000,1750000,0.1,2013,137,6.8,19,Dharmesh Tiwari,Arjun,Nitish Bharadwaj,Gajendra Chauhan
Mokssh,Normal,No,No,drama,Yes,Yes,No,Chinmay Mandlekar,Ajit Bhairavkar,Shailendra Barve,3,5000000,500000,0.1,2013,100,4.8,13,Ajit P. Bhairavkar,Chinmay Mandlekar,Sukhada Yash,Sanjiv Chopra
Lakshmi,Normal,No,No,drama,Yes,No,No,Monali Thakur,Nagesh Kukunoor,Tapas Relia,100,40000000,3900000,0.0975,2014,115,7.9,1520,Nagesh Kukunoor,Monali Thakur,Vibha Chhibber,Ranjeet Jha
Shortcut Romeo,Normal,No,No,thriller,No,Yes,No,Neil Nitin Mukesh,Susi Ganesh,Himesh Reshammiya,750,140000000,13600000,0.09714285714,2013,146,2.3,252,Susi Ganesan,Neil Nitin Mukesh,Ameesha Patel,Puja Gupta
Chittagong,Normal,No,No,drama,No,Yes,No,Manoj Bajpai,Bedabrata Pain,Shankar - Ehsaan - Loy,65,50000000,4750000,0.095,2012,105,7.3,1558,Bedabrata Pain,Manoj Bajpayee,Barry John,Delzad Hiwale
Memories in March,Holiday,No,No,drama,No,Yes,No,Deepti Naval,Sanjoy Nag,Debajyoti Mishra,20,15000000,1425000,0.095,2010,104,7.2,442,Sanjoy Nag,Deepti Naval,Raima Sen,Rituparno Ghosh
We R Friends,Normal,No,No,drama,No,Yes,No,Jackie Shroff,Jaidev Chakravorty,Anand - Milind,20,10000000,950000,0.095,2006,110,4.8,13,Jaidev Chakraborty,Addy,Ashok Asrani,Bhupindder Bhoopii
Main Aur Mr. Riight,Normal,No,No,rom__com,Yes,Yes,Yes,Barun Sobti,Adeeb Rais,Ravi Shukla,300,42500000,3900000,0.09176470588,2014,130,5.2,347,Adeeb Rais,Barun Sobti,Shenaz Treasury,Kavi Shastri
Tum Ho Yaara,Normal,No,No,drama,Yes,Yes,No,Ganesh Venkatraman,Natty Kumar,Faizan Hussain,5,6000000,550000,0.09166666667,2011,135,3.9,24,Dr. Jay,Natty Kumar,Ganesh Venkatraman,Kalpana Pandit
2 Nights In Soul Valley,Holiday,No,No,horror,No,Yes,Yes,Hemant Pandey,Harish Sharma,Varsha,20,3000000,275000,0.09166666667,2012,80,6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
Ru-Ba-Ru,Holiday,No,No,drama,No,Yes,Yes,Randeep Hooda,Arjun Chandramohan Bali,Satya,125,55000000,5000000,0.09090909091,2008,120,5.5,251,Arjun Bali,Randeep Hooda,Shahana Goswami,Rati Agnihotri
Kushti,Normal,Yes,No,comedy,No,No,No,Rajpal Yadav,T.K. Rajiv Kumar,Tauseef Akhtar,200,60000000,5425000,0.09041666667,2010,121,4.3,171,Rajeev Kumar,Rajpal Yadav,Nargis Bagheri,Om Puri
The Unsound,Normal,No,No,thriller,No,Yes,Yes,Shaadab Khan,Alok Shrivastava,Aslam Keyi,25,10000000,900000,0.09,2013,105,4.6,24,Alok Shrivastav,Shadab Khan,Anurita Jha,Sapna Thakur
Chand Bujh Gaya,Normal,No,No,love_story,No,Yes,Yes,Faisal Khan,Sharique Minhaz,Ali Ghani,20,17500000,1552500,0.08871428571,2005,116,6.8,52,Sharique Minhaj,Mukesh Ahuja,Ishrat Ali,Aliza
Mumbai Can Dance Saalaa,Holiday,No,No,thriller,Yes,Yes,Yes,Ashima Sharma,S. Sachindra,Naresh Karwala,600,35000000,3100000,0.08857142857,2015,135,1.6,43,Sachindra Sharma,Shakti Kapoor,Prashant Narayanan,Aditya Pancholi
Deewana Main Deewana,Normal,No,No,love_story,No,No,No,Govinda,K.C. Bokadia,Bappi Lahiri,200,50000000,4400000,0.088,2013,130,2.4,339,K.C. Bokadia,Govinda,Priyanka Chopra Jonas,Nasir Khan
Khanna & Iyer,Holiday,No,No,comedy,Yes,Yes,No,Aditi Sharma,Hemant Hegde,Tabun Sutradhar,70,22500000,1975000,0.08777777778,2007,103,5.1,49,Hemant Hegde,Sarvar Ahuja,Aditi Sharma,Arun Bakshi
Swami,Normal,No,No,drama,No,Yes,Yes,Manoj Bajpai,Ganesh Acharya,Nitin Arora,40,27500000,2350000,0.08545454545,2007,140,6.8,374,Ganesh Acharya,Manoj Bajpayee,Juhi Chawla,Maninder Wasu
Khap,Normal,No,No,drama,No,No,Yes,Om Puri,Ajai Sinha,Annujj Kappoo,100,27500000,2350000,0.08545454545,2011,125,5,104,Ajai Sinha,Rahul Jaiswal,Raj Arjun,Mohnish Bahl
Riyasat,Normal,No,No,drama,No,No,No,Rajesh Khanna,Ashok Tyagi,Sayyed Ahmed,30,5000000,425000,0.085,2014,80,6.4,44,Ashok Tyagi,Rajesh Khanna,Aryeman Ramsay,Raza Murad
Children Of War,Normal,No,No,drama,No,Yes,Yes,Farooque Shaikh,Mrityunjay Devvrat,Sidhant Mathur,275,90000000,7500000,0.08333333333,2014,160,6.7,879,Mrityunjay Devvrat,Farooq Shaikh,Victor Banerjee,Pawan Malhotra
1971,Normal,No,No,drama,No,Yes,Yes,Amitabh Bachchan,Amrit Sagar,Akash Chopra,85,55000000,4550000,0.08272727273,2007,136,8.1,1892,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal
Manjunath,Holiday,No,No,drama,Yes,Yes,Yes,Sasho Satiiysh Saarathy,Sandeep A. Varma,Sonam - Nitin - Subir,175,55000000,4550000,0.08272727273,2014,130,7.2,478,Sandeep A. Varma,Anjori Alagh,Karan Ashar,Aarun D. Baliean
Chhodon Naa Yaar,Normal,No,No,thriller,No,Yes,No,Jimmy Shergill,Dilip Sood,Anand Raj Anand,70,32500000,2650000,0.08153846154,2007,97,4.6,94,Dilip Sood,Jimmy Sheirgill,Kim Sharma,Farid Amiri
Sharafat Gayi Tel Lene,Normal,No,No,comedy,No,No,Yes,Zayed Khan,Gurmmeet Singh,Faridkot,450,70000000,5700000,0.08142857143,2015,108,4.9,273,Gurmmeet Singh,Zayed Khan,Tina Desai,Anupam Kher
Hum Tum Dushman Dushman,Normal,No,No,drama,Yes,No,No,Mashaal Durrani,Iqbal Durrani,Ali Ghani,125,20000000,1625000,0.08125,2015,114,6.4,18,Iqbal Durrani,Mashaal Durrani,Sohini Pal,Mukesh Rishi
Yatra,Normal,No,No,drama,No,No,No,Nana Patekar,Goutam Ghose,Goutam Ghose,50,47500000,3800000,0.08,2006,129,6.4,132,Goutam Ghose,Rekha,Nana Patekar,Deepti Naval
Thanks Maa,Normal,No,No,drama,Yes,Yes,No,Master Shams,Irfan Kamal,Sajid - Wajid,125,25000000,2000000,0.08,2009,120,7.9,698,Irfan Kamal,Master Shams,Master Salman,Master Jaffer
Aazaan,Normal,No,No,action,Yes,Yes,No,Sachiin Joshi,Prashant Chadha,Salim - Sulaiman,675,330000000,26300000,0.0796969697,2011,125,4.4,346,Prashant Chadha,Sachiin Joshi,Candice Boucher,Arya Babbar
Tell Me O Kkhuda,Holiday,No,No,drama,Yes,Yes,No,Eisha Deol,Hema Malini,Pritam,325,160000000,12300000,0.076875,2011,125,2.5,351,Hema Malini,Dharmendra,Vinod Khanna,Rishi Kapoor
A Flat,Normal,No,No,thriller,No,Yes,No,Jimmy Shergill,Hemant Madhukar,Bappa Lahiri,175,55000000,4200000,0.07636363636,2010,103,4.5,202,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney
Bolo Raam,Holiday,No,No,thriller,Yes,Yes,No,Rishi Bhutani,Rakesh Chaturvedi,Sachin Gupta,125,40000000,3050000,0.07625,2009,103,5.2,85,Rakesh Chaturvedi Om,Rishi Bhutani,Disha Pandey,Padmini Kolhapure
Khushboo,Normal,No,No,love_story,Yes,Yes,No,Rishi Rehan,Rajesh Ram Singh,Adnan Sami,80,25000000,1900000,0.076,1975,132,7.1,254,Gulzar,Jeetendra,Hema Malini,Durga Khote
Kaalo,Holiday,No,No,horror,Yes,No,No,Swini Khara,Wilson Louis,Rahul Ranade,200,40000000,3025000,0.075625,2010,79,3.3,260,Wilson Louis,Aditya Srivastav,Swini Khara,Aditya Lakhia
Hostel,Normal,No,No,drama,Yes,No,Yes,Vatsal Sheth,Manish Gupta,Virag Mishra,60,22500000,1700000,0.07555555556,2011,111,5.2,579,Manish Gupta,Vatsal Sheth,Tulip Joshi,Mukesh Tiwari
Anamika,Normal,No,No,thriller,No,No,No,Dino Morea,Anant Mahadevan,Anu Malik,75,32500000,2450000,0.07538461538,1973,125,7.1,278,Raghunath Jhalani,Sanjeev Kumar,Jaya Bachchan,Iftekhar
Monsoon Shootout,Normal,No,No,drama,No,Yes,No,Nawazuddin Siddiqui,Amit Kumar,Rochak Kohli,250,120000000,9000000,0.075,2013,92,6.6,1071,Amit Kumar,Vijay Varma,Nawazuddin Siddiqui,Neeraj Kabi
Sarhad Paar,Normal,No,No,drama,No,No,No,Sanjay Dutt,Raman Kumar,Anand Raj Anand,80,130000000,9600000,0.07384615385,2006,117,3.9,116,Raman Kumar,Mahima Chaudhry,Tabu,Sanjay Dutt
Lanka,Normal,No,No,drama,No,Yes,No,Manoj Bajpai,Maqbool Khan,Toshi - Sharib,375,80000000,5900000,0.07375,2011,107,5.8,205,Maqbool Khan,Manoj Bajpayee,Arjan Bajwa,Tia Bajpai
Karle Pyaar Karle,Normal,No,No,love_story,Yes,Yes,No,Shiv Darshan,Rajesh Pandey,Meet Bros,1100,260000000,19100000,0.07346153846,2014,110,2.7,128,Rajesh Pandey,Shiv Darshan,Hasleen Kaur,Aham Sharma
I Am 24,Normal,No,No,comedy,No,No,No,Rajat Kapoor,Saurabh Shukla,Jatin Pandit,75,42500000,3100000,0.07294117647,2010,118,6,1185,Saurabh Shukla,Rajat Kapoor,Ranvir Shorey,Neha Dhupia
Jai Santoshi Maa,Holiday,No,No,mythological,No,Yes,No,Rakesh Bapat,Ahmed Siddiqui,Anu Malik,110,42500000,3100000,0.07294117647,1975,145,6.2,118,Vijay Sharma,Bharat Bhushan,Ashish Kumar,Kanan Kaushal
Gandhi To Hitler,Normal,No,No,drama,No,Yes,No,Neha Dhupia,Rakesh Ranjan Kumar,Sanjoy Chowdhary,150,47500000,3450000,0.07263157895,2011,108,2.5,207,Rakesh Ranjan Kumar,Avijit Dutt,Raghuvir Yadav,Neha Dhupia
Amu,Normal,No,No,drama,Yes,Yes,Yes,Konkona Sen Sharma,Shonali Bose,Nandlal Nayak,4,5000000,362500,0.0725,2005,102,7.3,856,Shonali Bose,Konkona Sen Sharma,Yashpal Sharma,Brinda Karat
Pappu Can't Dance Saala,Normal,No,No,rom__com,No,No,Yes,Vinay Pathak,Saurabh Shukla,Malhar,275,85000000,6000000,0.07058823529,2010,138,6.5,447,Saurabh Shukla,Vinay Pathak,Neha Dhupia,Rajat Kapoor
Barefoot To Goa,Normal,No,No,drama,Yes,Yes,Yes,Farrukh Jaffar,Praveen Morchhale,Rohit Sharma,25,6000000,420000,0.07,2015,80,5.6,149,Praveen Morchhale,Sonu Chourasia,Ajay Chourey,Farrukh Jaffar
Amdavad Junction,Normal,No,No,thriller,Yes,Yes,Yes,Rohan Jardosh,Apurv Bajpai,Parampara Band,85,5000000,350000,0.07,2013,95,4.4,16,Apurv Bajpai,Rohan Jardosh,Ishita Salot,Gunjan Vyas
Zindagi Jalebi,Holiday,No,No,comedy,Yes,Yes,Yes,Avinash Bhargava,Karan Kashyyap,Pravin More,3,2500000,175000,0.07,2013,117,3.7,6,Karan Kashyap,Mukesh Choudhary,Muntazir Ahmad,Avinash Bhargava
Ladies First,Holiday,No,No,drama,Yes,No,Yes,Khushboo Khan,Ashok Mehta,Shiv - Ram,10,2000000,140000,0.07,2014,106,3.6,20,Ashok Mehta,Ruby Ahmed,Khushboo Khan,Gautmi
Hai Golmaal In White House,Normal,No,No,comedy,No,Yes,No,Rajpal Yadav,Salar Shaikh,Shamir Tandon,4,4000000,275000,0.06875,2015,125,2.5,8,Salar Shaikh,Arun Bakshi,Krishna Bhatt,Rajesh Chowdhury
Sandwich,Holiday,No,No,comedy,No,No,No,Govinda,Anees Bazmee,Aadesh Shrivastava,90,100000000,6800000,0.068,2006,152,5.4,819,Anees Bazmee,Govinda,Raveena Tandon,Mahima Chaudhry
Aalaap,Normal,No,No,drama,Yes,Yes,No,Amit Purohit,Manish Manikpuri,Agnee,65,25000000,1700000,0.068,2012,116,5.4,26,Manish Manikpuri,Omkar Das Manikpuri,Pitobash,Amit Purohit
Angel,Holiday,No,No,drama,Yes,No,No,Nilesh Sahay,Ganesh Acharya,Amjad - Nadeem,85,25000000,1700000,0.068,2011,114,6.3,84,Ganesh Acharya,Sumit Arora,Arun,Raakesh Babu
Bhadaas,Normal,No,No,thriller,No,No,Yes,Meera,Ajay Yadav,Shabab Azmi,125,27500000,1850000,0.06727272727,2013,89,2.5,26,Ajay Yadav,Meera,Aryeman Ramsay,Ashutosh Kaushik
Babloo Happy Hai,Normal,No,No,love_story,Yes,No,Yes,Sahil Anand,Nila Madhab Panda,Bishakh - Kanish,275,45000000,3000000,0.06666666667,2014,113,6.7,83,Nila Madhab Panda,Sahil Anand,Erica Fernandes,Parvin Dabas
Antardwand,Normal,No,No,drama,No,Yes,No,Raj Singh Chaudhary,Sushil Rajpal,Bappi - Tutal,115,40000000,2650000,0.06625,2008,114,7.3,656,Sushil Rajpal,Raj Singh Chaudhary,Raja Chaudhary,Swati Sen
Zindagi Tere Naam,Normal,No,No,drama,No,No,No,Mithun Chakraborty,Ashu Trikha,Sajid - Wajid,90,35000000,2300000,0.06571428571,2012,120,4.4,33,Ashu Trikha,Mithun Chakraborty,Ranjeeta Kaur,Priyanka Mehta
Bubble Gum,Normal,No,No,drama,Yes,Yes,No,Delzad Hiwale,Sanjivan Lal,Bappi - Tutal,50,17500000,1150000,0.06571428571,2011,116,7.3,456,Sanjivan Lal,Apoorva Arora,Tanvi Azmi,Delzad Hiwale
Zubaan,Holiday,No,No,drama,Yes,Yes,Yes,Vicky Kaushal,Mozez Singh,Ashu Pathak,350,80000000,5200000,0.065,2015,115,6.1,408,Mozez Singh,Vicky Kaushal,Sarah Jane Dias,Raaghavv Chanana
